Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Grade,Electricity_Availability,Internet_Accessibility,Peer_Influence,Community_Beliefs,Family_Support,Home_Study_Environment,Motivation_Level,Lecture_Quality,Physical_Health,Psychological_State
19,Female,2.59,74.3,7.9,3.4,3.5,2.11,Yes,Offline,Good,Average,No,2,High,3.4,A,0.65,0,Neutral,3.1,3.1,3.3,4.3,2.7,4.9,3.0
25,Male,7.92,64.4,8.5,3.3,2.0,1.53,Yes,Offline,Average,Good,No,3,High,5.6,A,1.0,0,Positive,4.6,4.1,4.1,4.0,3.5,4.8,4.1
20,Female,8.53,85.9,8.3,7.7,4.1,1.65,No,Hybrid,Good,Good,No,4,High,1.7,A,0.49,0,Neutral,2.3,1.9,4.4,4.0,2.2,5.0,2.1
28,Male,4.34,79.2,7.8,6.7,3.9,1.15,No,Online,Average,Excellent,No,0,High,8.2,C,0.26,2,Positive,4.2,2.9,3.4,1.6,3.1,4.4,2.8
28,Female,6.68,81.7,7.0,5.3,5.8,1.5,No,Online,Good,Excellent,No,2,Low,2.6,A,0.14,1,Neutral,3.3,1.9,3.4,2.4,2.8,4.7,1.6
19,Female,4.64,83.9,6.9,6.2,6.6,1.83,No,Hybrid,Good,Excellent,No,2,Middle,6.9,C,0.44,2,Positive,1.0,1.7,5.0,3.4,1.6,4.4,1.6
17,Non-Binary,6.14,90.5,8.7,2.8,3.6,1.8,No,Hybrid,Average,Average,No,3,Middle,2.3,A,0.89,1,Positive,5.0,1.6,5.0,4.1,2.8,5.0,3.2
23,Female,3.49,70.8,6.6,4.6,4.2,1.56,No,Online,Average,Good,Yes,1,Low,5.7,B,0.15,1,Neutral,2.1,3.7,3.3,2.3,3.7,3.6,3.2
20,Male,1.58,86.1,7.8,4.9,6.6,1.94,No,Hybrid,Average,Average,Yes,0,High,4.0,C,0.5,0,Neutral,3.0,3.5,4.0,3.1,3.9,4.3,3.3
18,Female,1.39,80.6,8.3,7.9,2.9,2.39,Yes,Offline,Average,Average,No,1,Middle,5.9,B,0.58,0,Neutral,3.4,1.0,3.7,2.4,5.0,5.0,2.4
23,Male,5.77,80.5,8.1,2.2,0.5,2.02,Yes,Offline,Good,Excellent,No,1,High,5.5,A,0.41,2,Positive,3.0,3.3,4.6,4.1,2.9,5.0,5.0
17,Female,9.5,78.9,4.6,3.6,5.0,2.21,No,Hybrid,Average,Poor,Yes,2,Middle,3.1,A,0.74,0,Neutral,3.8,2.6,4.0,4.9,1.8,4.4,2.9
25,Female,5.54,75.3,7.0,5.3,5.4,1.93,Yes,Hybrid,Average,Excellent,No,2,Middle,4.8,A,0.74,1,Neutral,4.2,2.9,4.5,2.1,2.6,4.0,3.1
18,Male,3.95,82.0,4.3,5.7,5.1,1.58,No,Offline,Average,Average,Yes,1,Low,7.1,C,0.19,0,Negative,2.1,2.7,2.4,3.5,2.2,3.8,2.8
18,Male,9.1,80.2,8.1,3.9,2.6,2.09,No,Hybrid,Poor,Excellent,No,1,Low,2.8,A,0.59,2,Positive,2.8,2.7,3.5,4.3,2.8,4.1,3.6
18,Female,5.47,86.7,7.8,5.1,2.1,2.02,No,Hybrid,Good,Average,Yes,2,High,1.9,A,0.7,2,Positive,2.3,1.9,4.3,2.6,2.8,5.0,2.2
27,Female,5.2,94.7,6.5,4.5,5.1,1.36,No,Offline,Average,Average,No,0,High,2.2,A,0.51,0,Positive,2.3,2.3,4.4,2.2,4.4,3.6,2.3
23,Male,5.51,70.1,5.4,4.7,3.2,1.65,No,Offline,Average,Average,No,2,Middle,2.0,A,0.32,2,Positive,3.1,2.3,2.3,2.8,1.5,3.9,3.5
24,Male,4.74,99.3,6.2,3.7,2.3,1.86,No,Offline,Good,Good,Yes,3,High,2.1,A,0.86,1,Positive,4.0,2.6,4.9,3.0,3.3,4.4,3.6
20,Male,4.38,90.7,5.8,5.1,3.8,1.96,Yes,Online,Poor,Average,Yes,0,Middle,6.4,B,0.26,2,Positive,1.4,3.4,3.5,2.6,2.0,4.9,2.7
20,Female,2.13,68.5,7.5,4.9,3.2,1.16,No,Hybrid,Average,Good,No,1,High,6.7,C,0.42,2,Neutral,2.8,4.2,2.5,2.7,3.5,5.0,3.5
19,Male,6.0,78.6,6.9,5.4,3.3,2.01,No,Hybrid,Poor,Poor,No,2,Low,1.2,A,0.6,1,Neutral,2.2,2.1,4.5,4.1,3.8,3.6,2.8
21,Female,4.81,79.9,9.0,7.9,3.5,1.87,No,Hybrid,Good,Poor,No,3,Middle,3.5,A,0.72,1,Neutral,3.6,2.9,3.0,2.9,4.0,5.0,1.6
21,Male,7.45,91.6,6.0,6.7,1.8,2.16,No,Online,Average,Poor,No,2,Middle,2.3,A,0.84,1,Neutral,3.5,1.0,3.8,2.4,2.0,4.8,3.0
22,Female,4.26,70.3,5.3,5.7,4.7,1.73,No,Online,Good,Good,Yes,2,Middle,6.0,B,0.34,1,Negative,4.0,1.3,1.7,3.1,3.8,3.0,1.6
19,Male,1.19,97.0,9.4,5.7,0.5,2.01,Yes,Online,Average,Excellent,No,2,Middle,3.1,A,0.79,1,Neutral,1.7,2.8,4.7,2.1,2.3,4.2,4.3
26,Female,4.8,69.2,6.1,6.5,3.1,1.74,No,Online,Poor,Excellent,No,2,Middle,3.1,C,0.55,2,Positive,3.3,3.2,3.9,2.5,3.4,5.0,3.8
18,Male,8.4,76.3,5.2,7.3,5.8,1.79,Yes,Online,Average,Average,No,2,Middle,4.2,A,0.55,1,Positive,2.9,2.8,5.0,2.9,2.3,4.7,2.4
27,Female,4.23,73.8,7.7,7.3,4.7,1.73,Yes,Offline,Average,Good,No,0,Low,6.2,B,0.43,1,Positive,1.3,2.0,3.1,2.8,3.1,5.0,2.9
17,Male,3.22,67.6,8.8,5.3,5.4,1.61,Yes,Hybrid,Average,Good,No,0,Middle,4.8,C,0.8,0,Negative,1.5,3.8,4.5,2.8,3.2,5.0,3.1
21,Female,2.89,68.7,7.1,2.5,0.9,1.53,Yes,Online,Average,Average,No,1,Middle,5.0,C,0.21,1,Neutral,2.5,2.6,4.0,2.6,4.6,4.5,2.5
20,Female,2.9,74.1,7.5,2.3,3.3,1.87,No,Hybrid,Average,Good,Yes,1,High,3.6,B,0.26,0,Positive,3.0,2.9,3.9,3.4,1.2,4.0,3.6
20,Male,4.4,77.3,7.9,5.0,6.7,1.6,Yes,Offline,Average,Good,Yes,1,Middle,6.3,B,0.84,2,Neutral,4.2,3.0,3.7,2.8,4.6,5.0,2.7
21,Female,2.64,73.8,6.2,3.6,4.0,1.89,Yes,Online,Poor,Average,No,1,Low,4.4,B,0.61,1,Neutral,2.7,3.3,2.7,2.6,2.3,4.4,3.4
20,Female,8.0,70.7,7.1,5.9,1.5,1.81,Yes,Offline,Good,Poor,No,2,Middle,3.2,A,0.89,0,Positive,3.4,1.7,3.4,3.6,2.3,5.0,2.5
20,Male,4.43,54.2,8.0,8.0,3.3,1.44,No,Hybrid,Average,Average,No,1,Low,5.5,C,0.7,1,Neutral,3.1,1.4,4.3,2.4,2.1,5.0,1.7
23,Male,5.66,77.2,6.5,6.3,4.6,1.54,Yes,Offline,Poor,Good,No,2,Middle,5.3,C,0.43,2,Positive,2.1,3.2,3.0,2.6,5.0,3.6,1.7
23,Male,7.88,98.6,9.3,5.0,3.0,1.95,No,Online,Average,Poor,Yes,2,Low,5.1,A,0.73,0,Neutral,2.5,2.4,3.1,4.4,3.1,4.6,3.6
24,Female,8.01,96.4,5.4,2.7,4.4,1.21,Yes,Hybrid,Good,Average,No,0,Middle,5.8,A,0.7,0,Positive,3.0,3.7,3.2,4.8,2.6,5.0,1.8
19,Female,4.57,91.5,5.8,5.7,3.2,2.14,No,Hybrid,Poor,Average,Yes,2,Low,5.6,A,0.34,1,Neutral,1.8,1.7,3.1,2.5,2.3,3.5,1.8
22,Male,5.66,76.0,6.5,2.1,6.9,1.51,No,Offline,Average,Poor,Yes,1,Low,3.0,A,0.47,0,Neutral,3.6,2.9,3.7,3.9,2.9,3.3,2.5
22,Female,6.47,85.1,6.1,5.7,4.6,1.46,No,Online,Good,Average,Yes,2,High,4.9,B,0.37,2,Positive,4.4,3.5,4.3,2.9,1.2,5.0,3.3
20,Female,4.61,74.6,6.6,5.8,3.8,2.19,No,Hybrid,Average,Excellent,No,0,High,6.9,B,0.9,2,Neutral,4.6,3.6,3.7,2.7,2.9,4.7,2.9
21,Female,1.44,75.3,7.8,7.5,5.1,1.16,No,Online,Poor,Poor,Yes,0,Middle,9.6,D,0.96,0,Neutral,3.7,1.9,4.3,1.7,3.4,3.7,2.2
19,Female,6.31,81.5,9.2,10.0,3.8,1.72,Yes,Hybrid,Average,Good,No,1,Low,3.5,B,0.91,1,Positive,3.3,1.0,1.7,1.7,2.7,4.8,2.8
18,Female,6.79,90.1,5.2,5.5,4.2,1.8,Yes,Online,Good,Average,Yes,4,High,4.6,A,0.32,1,Positive,1.1,3.2,4.0,3.3,4.0,4.5,1.6
19,Female,5.83,75.0,6.1,10.0,2.5,1.7,No,Online,Average,Good,No,0,High,5.7,B,0.68,1,Positive,2.0,2.2,3.7,2.3,2.4,4.0,1.2
18,Male,3.15,73.4,5.3,7.1,4.9,1.65,No,Online,Average,Good,No,0,High,7.5,C,0.99,1,Neutral,1.6,2.7,2.7,2.2,2.7,4.2,1.9
23,Female,4.61,79.6,7.1,3.8,5.6,1.84,No,Offline,Average,Average,No,3,Middle,5.6,A,0.41,2,Neutral,2.5,2.0,2.6,4.2,2.0,5.0,2.0
22,Female,3.82,65.2,6.2,5.5,4.7,1.36,No,Offline,Poor,Excellent,Yes,2,Low,4.5,C,0.68,2,Negative,3.8,2.6,3.5,3.1,4.0,3.9,2.5
27,Male,4.4,88.5,6.0,5.9,1.9,1.65,Yes,Offline,Average,Good,Yes,2,Low,3.9,B,0.25,0,Positive,3.3,2.7,2.5,3.1,2.1,5.0,3.2
23,Female,7.59,90.1,6.4,2.7,3.1,1.44,Yes,Online,Average,Excellent,No,4,High,4.8,A,0.69,2,Neutral,3.4,4.3,4.3,5.0,4.4,4.3,3.3
17,Female,8.06,91.7,7.4,4.9,3.1,1.56,No,Online,Average,Good,Yes,3,High,3.9,A,0.53,2,Positive,3.5,3.7,4.2,4.0,2.3,3.9,3.5
25,Female,6.34,87.7,6.0,5.3,4.6,1.46,Yes,Hybrid,Average,Excellent,No,0,Middle,1.6,B,0.52,2,Positive,2.3,3.6,4.0,4.9,3.7,5.0,3.6
25,Male,6.1,74.1,7.0,8.1,4.1,1.99,Yes,Hybrid,Good,Good,No,3,Middle,1.0,A,0.68,0,Positive,2.8,2.5,3.8,2.5,2.3,4.0,3.4
20,Male,6.35,77.6,5.5,2.6,4.4,1.97,No,Offline,Poor,Excellent,Yes,3,Middle,4.4,A,0.55,2,Positive,3.2,2.4,2.7,3.7,1.9,2.3,3.5
22,Female,4.98,70.7,9.0,5.8,3.2,1.71,No,Online,Average,Good,Yes,1,High,5.8,B,0.79,2,Negative,4.1,2.4,5.0,3.8,3.2,5.0,3.0
28,Female,4.85,83.1,6.9,2.6,3.0,1.84,No,Offline,Average,Good,No,1,Middle,1.9,A,0.63,2,Positive,2.9,2.1,3.9,1.8,1.7,5.0,4.1
21,Male,3.65,100.0,8.7,4.4,4.9,2.05,No,Online,Poor,Good,No,1,Middle,5.5,A,0.16,0,Neutral,2.8,2.8,2.0,3.1,5.0,4.0,3.8
25,Female,4.89,70.2,9.3,7.8,4.0,2.06,Yes,Hybrid,Average,Excellent,Yes,2,Low,4.3,B,0.56,1,Neutral,1.6,1.7,2.8,4.7,3.2,4.8,2.4
18,Female,9.52,86.5,7.2,4.6,4.1,1.59,Yes,Online,Good,Excellent,No,2,Middle,2.7,A,0.73,2,Positive,2.2,2.8,4.8,3.1,3.0,4.1,3.0
18,Male,6.74,93.7,5.2,5.5,2.1,1.86,Yes,Offline,Average,Average,No,2,Middle,2.8,A,0.73,1,Neutral,3.2,2.6,2.7,4.4,1.0,4.0,3.7
20,Male,4.32,69.6,7.5,5.8,4.7,2.21,No,Online,Average,Good,No,1,High,2.5,A,0.77,2,Neutral,2.8,1.9,5.0,2.8,3.3,3.8,2.5
22,Male,4.06,100.0,5.8,2.8,2.9,1.83,Yes,Online,Average,Average,Yes,2,Low,2.5,A,0.65,2,Positive,1.5,3.5,5.0,5.0,3.8,4.9,3.9
24,Female,3.27,73.4,7.9,6.4,3.6,1.89,Yes,Online,Average,Good,Yes,0,Low,3.1,C,0.36,2,Neutral,1.5,1.5,2.7,2.0,2.4,5.0,1.8
28,Male,5.75,79.0,6.1,6.3,2.9,1.43,No,Hybrid,Good,Average,No,2,Middle,4.1,A,0.53,0,Positive,1.9,4.7,3.0,2.4,2.9,3.5,2.5
20,Male,5.78,84.2,7.7,4.5,4.5,1.9,No,Hybrid,Poor,Average,Yes,1,Middle,4.5,A,0.44,0,Positive,2.7,3.8,4.3,2.6,3.3,5.0,4.0
17,Male,2.11,89.3,7.5,8.4,3.4,1.35,No,Offline,Poor,Excellent,Yes,0,Middle,5.5,Fail,0.72,1,Neutral,4.0,1.3,3.6,2.2,4.6,3.4,2.4
24,Male,5.97,87.9,5.2,9.5,5.7,2.09,No,Online,Average,Average,No,1,Middle,4.2,A,0.6,1,Positive,3.3,2.3,3.4,2.3,1.8,4.4,2.8
22,Male,3.86,77.6,8.8,7.7,4.9,2.26,No,Hybrid,Poor,Good,Yes,1,High,3.1,B,0.81,0,Neutral,2.0,2.2,4.9,2.0,4.1,5.0,2.1
18,Male,7.85,73.5,10.0,6.4,4.2,1.98,No,Online,Good,Good,Yes,1,High,4.8,A,0.5,1,Positive,2.3,2.4,3.4,3.6,3.7,5.0,3.0
21,Female,5.31,56.8,5.9,2.7,1.4,1.77,No,Hybrid,Good,Average,Yes,1,Middle,1.0,A,0.58,1,Positive,3.5,2.7,3.5,4.0,1.7,3.5,4.0
23,Female,8.44,75.0,6.9,3.2,4.7,1.28,No,Offline,Average,Average,No,2,Middle,4.7,A,0.46,1,Neutral,3.3,3.8,3.3,2.3,1.1,3.6,2.4
24,Male,4.08,92.6,5.9,6.2,3.3,2.25,Yes,Hybrid,Poor,Good,Yes,2,Low,1.0,A,0.88,0,Neutral,2.3,1.9,3.8,3.5,2.0,4.6,2.2
21,Male,4.42,72.2,7.1,6.1,3.4,1.28,No,Online,Average,Average,No,1,High,4.9,B,0.98,2,Neutral,1.0,3.5,3.2,1.9,2.6,5.0,2.5
19,Non-Binary,5.6,86.1,7.1,7.8,4.6,1.43,No,Online,Average,Excellent,No,2,High,3.6,B,0.21,1,Neutral,3.3,3.6,3.3,2.5,1.7,3.1,2.3
28,Male,7.11,87.1,7.5,7.3,5.4,1.98,No,Hybrid,Good,Excellent,No,2,Middle,2.9,A,0.33,1,Neutral,2.7,1.7,2.7,2.8,3.4,5.0,3.3
22,Male,6.13,81.7,8.0,7.0,4.5,1.34,Yes,Offline,Average,Average,Yes,3,Low,2.1,B,0.24,0,Neutral,4.7,3.1,2.2,3.3,1.9,3.9,2.4
20,Male,2.53,74.5,7.8,5.0,4.2,2.39,No,Offline,Average,Average,Yes,2,Low,5.9,A,0.08,1,Positive,2.7,3.3,4.2,2.0,3.5,4.1,2.9
19,Male,5.37,74.5,5.9,6.5,5.6,2.2,Yes,Offline,Average,Good,No,2,Middle,2.1,A,0.81,2,Negative,3.0,1.0,5.0,3.5,2.6,4.5,3.7
23,Female,5.04,79.6,4.6,5.6,4.3,2.1,No,Hybrid,Good,Good,Yes,2,Low,1.5,A,0.73,0,Neutral,2.8,4.0,2.8,2.4,2.7,2.6,2.7
19,Male,4.14,62.5,6.9,5.5,3.0,1.76,Yes,Hybrid,Good,Average,No,1,Middle,8.0,C,0.74,0,Positive,3.4,2.3,4.4,3.7,4.1,4.9,2.9
18,Female,3.7,94.0,6.9,5.8,4.7,1.43,No,Online,Average,Poor,No,1,Middle,5.3,B,0.65,0,Positive,3.4,2.7,3.4,2.6,4.1,4.2,2.1
21,Male,8.5,69.6,7.9,6.7,3.9,1.43,Yes,Online,Poor,Good,No,2,Middle,2.2,A,0.63,0,Positive,1.9,3.6,4.4,3.6,3.7,4.7,3.1
19,Male,4.22,73.8,8.8,8.7,3.2,1.68,Yes,Offline,Average,Excellent,Yes,1,High,5.3,C,0.96,1,Positive,1.7,2.8,2.9,3.2,1.8,4.5,1.0
22,Female,3.31,73.9,7.4,5.9,1.0,1.55,No,Hybrid,Poor,Average,No,3,Middle,3.8,A,0.51,1,Positive,4.1,2.5,3.1,2.5,1.9,5.0,3.3
18,Male,6.27,77.1,6.5,5.3,4.6,2.24,No,Online,Poor,Good,Yes,2,High,1.0,A,0.32,0,Positive,2.5,3.3,3.7,5.0,2.4,3.3,4.2
22,Female,5.26,83.8,7.1,4.0,3.9,1.7,No,Online,Poor,Excellent,Yes,0,Low,3.3,B,0.66,2,Positive,3.5,3.8,1.8,3.1,4.9,4.6,3.9
19,Male,4.85,92.1,6.5,7.2,5.9,1.65,No,Offline,Poor,Good,No,0,Low,4.9,B,0.55,1,Positive,2.7,2.5,3.7,2.9,1.7,3.8,2.5
17,Female,6.56,82.3,7.2,3.7,4.0,1.79,Yes,Hybrid,Good,Good,No,3,Middle,5.5,A,0.21,2,Positive,1.1,2.4,1.9,4.8,3.6,3.3,2.6
18,Male,5.98,95.7,6.3,1.1,3.1,1.58,Yes,Online,Average,Good,No,2,Middle,3.6,A,0.41,0,Neutral,4.4,3.6,4.3,4.2,1.6,3.7,3.8
26,Female,5.72,76.4,7.5,7.8,3.4,1.92,No,Online,Poor,Excellent,No,1,Low,4.7,B,0.6,2,Positive,3.8,1.7,2.8,3.5,3.6,4.2,3.0
25,Male,6.93,87.0,6.1,9.7,2.4,1.7,No,Hybrid,Poor,Good,No,1,Middle,2.3,A,0.95,1,Positive,3.5,2.9,3.7,2.4,2.2,3.9,1.0
19,Female,5.57,88.0,5.5,5.3,3.0,1.98,Yes,Online,Poor,Excellent,Yes,2,Middle,6.1,B,0.46,1,Positive,2.0,2.0,3.6,1.5,3.5,3.4,1.6
24,Male,3.77,81.5,7.2,5.7,4.1,2.04,Yes,Offline,Good,Good,Yes,0,High,6.4,B,0.4,2,Positive,3.7,2.1,3.6,2.3,2.1,4.0,2.7
22,Female,4.28,86.7,7.5,5.5,3.5,2.39,No,Hybrid,Average,Good,No,1,Middle,5.0,A,0.8,0,Positive,3.3,3.5,4.3,2.9,2.3,4.5,2.7
28,Male,3.96,69.9,7.6,6.9,4.2,1.4,No,Offline,Average,Average,Yes,0,Middle,5.9,C,0.4,1,Positive,2.3,2.5,5.0,2.0,2.9,5.0,2.4
20,Female,5.42,93.3,5.6,2.2,3.7,1.95,Yes,Offline,Average,Average,No,3,High,1.1,A,0.19,1,Positive,2.7,3.5,4.7,3.6,2.3,4.0,4.5
23,Male,2.84,88.2,5.0,1.2,4.3,1.82,Yes,Hybrid,Average,Good,Yes,2,High,6.7,B,0.74,1,Neutral,2.9,3.9,3.0,2.1,1.9,3.1,3.3
17,Male,1.34,81.8,5.3,3.9,3.7,2.33,Yes,Online,Poor,Average,Yes,1,Middle,5.6,C,0.61,0,Positive,2.4,2.4,3.1,2.7,2.5,5.0,2.5
20,Female,5.18,76.6,8.5,8.1,3.4,1.81,No,Online,Poor,Good,Yes,0,Middle,5.0,C,0.61,0,Neutral,3.3,1.9,3.6,2.1,3.2,2.5,2.8
27,Male,2.33,88.5,8.0,6.0,1.9,2.25,No,Offline,Average,Average,No,2,Middle,4.5,A,0.78,0,Neutral,3.9,3.8,2.8,1.2,1.0,5.0,3.4
21,Male,1.1,69.3,7.6,3.3,7.8,2.05,Yes,Online,Poor,Excellent,No,1,Low,5.5,B,0.62,2,Negative,2.5,3.5,3.7,2.8,3.2,4.3,2.8
19,Female,5.75,87.5,8.6,5.1,1.5,2.23,No,Online,Good,Average,Yes,1,Low,2.3,A,0.58,2,Positive,2.9,2.4,4.8,3.2,1.3,4.7,3.6
18,Non-Binary,3.58,89.4,8.3,3.8,4.5,1.94,No,Hybrid,Average,Excellent,Yes,2,Middle,3.2,A,0.5,2,Positive,2.9,3.2,3.4,2.8,3.3,4.2,3.4
23,Male,5.99,100.0,8.5,3.2,4.1,2.21,Yes,Hybrid,Average,Good,No,2,High,1.5,A,0.39,1,Neutral,3.8,2.9,4.1,2.8,5.0,4.4,3.3
